hotelId,eventType,start,end,count
9092,view,2021/05/04 08:00:00,2021/05/04 08:30:00,13
6035,click,2021/05/04 08:00:00,2021/05/04 08:30:00,10
8001,click,2021/05/04 08:00:00,2021/05/04 08:30:00,11
9090,click,2021/05/04 08:00:00,2021/05/04 08:30:00,14
6032,view,2021/05/04 08:00:00,2021/05/04 08:30:00,14
9089,view,2021/05/04 08:00:00,2021/05/04 08:30:00,14
7047,view,2021/05/04 08:00:00,2021/05/04 08:30:00,14
9089,click,2021/05/04 08:00:00,2021/05/04 08:30:00,11
9091,view,2021/05/04 08:00:00,2021/05/04 08:30:00,6
8002,view,2021/05/04 08:00:00,2021/05/04 08:30:00,9
7045,view,2021/05/04 08:00:00,2021/05/04 08:30:00,7
6032,click,2021/05/04 08:00:00,2021/05/04 08:30:00,11
9090,view,2021/05/04 08:00:00,2021/05/04 08:30:00,14
9091,click,2021/05/04 08:00:00,2021/05/04 08:30:00,13
6033,view,2021/05/04 08:00:00,2021/05/04 08:30:00,10
8002,click,2021/05/04 08:00:00,2021/05/04 08:30:00,7
8001,view,2021/05/04 08:00:00,2021/05/04 08:30:00,3
9092,click,2021/05/04 08:00:00,2021/05/04 08:30:00,12
6035,view,2021/05/04 08:00:00,2021/05/04 08:30:00,9
6036,click,2021/05/04 08:00:00,2021/05/04 08:30:00,13
7046,click,2021/05/04 08:00:00,2021/05/04 08:30:00,11
6033,click,2021/05/04 08:00:00,2021/05/04 08:30:00,14
7046,view,2021/05/04 08:00:00,2021/05/04 08:30:00,10
7045,click,2021/05/04 08:00:00,2021/05/04 08:30:00,14
6036,view,2021/05/04 08:00:00,2021/05/04 08:30:00,14
7047,click,2021/05/04 08:00:00,2021/05/04 08:30:00,10
9090,click,2021/05/04 08:30:00,2021/05/04 09:00:00,14
6036,view,2021/05/04 08:30:00,2021/05/04 09:00:00,11
6032,click,2021/05/04 08:30:00,2021/05/04 09:00:00,10
8001,click,2021/05/04 08:30:00,2021/05/04 09:00:00,13
6033,click,2021/05/04 08:30:00,2021/05/04 09:00:00,14
6032,view,2021/05/04 08:30:00,2021/05/04 09:00:00,6
9089,click,2021/05/04 08:30:00,2021/05/04 09:00:00,11
9089,view,2021/05/04 08:30:00,2021/05/04 09:00:00,6
9092,view,2021/05/04 08:30:00,2021/05/04 09:00:00,7
7046,view,2021/05/04 08:30:00,2021/05/04 09:00:00,7
6033,view,2021/05/04 08:30:00,2021/05/04 09:00:00,7
9090,view,2021/05/04 08:30:00,2021/05/04 09:00:00,12
9091,click,2021/05/04 08:30:00,2021/05/04 09:00:00,15
8002,view,2021/05/04 08:30:00,2021/05/04 09:00:00,11
6035,click,2021/05/04 08:30:00,2021/05/04 09:00:00,20
8001,view,2021/05/04 08:30:00,2021/05/04 09:00:00,12
9091,view,2021/05/04 08:30:00,2021/05/04 09:00:00,15
7045,view,2021/05/04 08:30:00,2021/05/04 09:00:00,9
6035,view,2021/05/04 08:30:00,2021/05/04 09:00:00,12
8002,click,2021/05/04 08:30:00,2021/05/04 09:00:00,5
7045,click,2021/05/04 08:30:00,2021/05/04 09:00:00,18
7046,click,2021/05/04 08:30:00,2021/05/04 09:00:00,5
7047,click,2021/05/04 08:30:00,2021/05/04 09:00:00,14
9092,click,2021/05/04 08:30:00,2021/05/04 09:00:00,11
6036,click,2021/05/04 08:30:00,2021/05/04 09:00:00,13
7047,view,2021/05/04 08:30:00,2021/05/04 09:00:00,10
7046,view,2021/05/04 09:00:00,2021/05/04 09:30:00,13
9091,view,2021/05/04 09:00:00,2021/05/04 09:30:00,11
6032,view,2021/05/04 09:00:00,2021/05/04 09:30:00,10
6033,click,2021/05/04 09:00:00,2021/05/04 09:30:00,12
6036,click,2021/05/04 09:00:00,2021/05/04 09:30:00,13
9089,view,2021/05/04 09:00:00,2021/05/04 09:30:00,11
9090,click,2021/05/04 09:00:00,2021/05/04 09:30:00,14
7047,view,2021/05/04 09:00:00,2021/05/04 09:30:00,8
9092,view,2021/05/04 09:00:00,2021/05/04 09:30:00,11
7045,click,2021/05/04 09:00:00,2021/05/04 09:30:00,8
9090,view,2021/05/04 09:00:00,2021/05/04 09:30:00,16
7046,click,2021/05/04 09:00:00,2021/05/04 09:30:00,11
8001,view,2021/05/04 09:00:00,2021/05/04 09:30:00,13
8002,view,2021/05/04 09:00:00,2021/05/04 09:30:00,8
6036,view,2021/05/04 09:00:00,2021/05/04 09:30:00,11
9089,click,2021/05/04 09:00:00,2021/05/04 09:30:00,10
8001,click,2021/05/04 09:00:00,2021/05/04 09:30:00,10
8002,click,2021/05/04 09:00:00,2021/05/04 09:30:00,9
7047,click,2021/05/04 09:00:00,2021/05/04 09:30:00,12
6035,click,2021/05/04 09:00:00,2021/05/04 09:30:00,16
6033,view,2021/05/04 09:00:00,2021/05/04 09:30:00,9
9091,click,2021/05/04 09:00:00,2021/05/04 09:30:00,8
7045,view,2021/05/04 09:00:00,2021/05/04 09:30:00,14
9092,click,2021/05/04 09:00:00,2021/05/04 09:30:00,8
6035,view,2021/05/04 09:00:00,2021/05/04 09:30:00,9
6032,click,2021/05/04 09:00:00,2021/05/04 09:30:00,13
6033,view,2021/05/04 09:30:00,2021/05/04 10:00:00,8
7045,click,2021/05/04 09:30:00,2021/05/04 10:00:00,10
7047,click,2021/05/04 09:30:00,2021/05/04 10:00:00,6
7047,view,2021/05/04 09:30:00,2021/05/04 10:00:00,10
8002,view,2021/05/04 09:30:00,2021/05/04 10:00:00,8
8001,click,2021/05/04 09:30:00,2021/05/04 10:00:00,14
6035,click,2021/05/04 09:30:00,2021/05/04 10:00:00,13
9092,view,2021/05/04 09:30:00,2021/05/04 10:00:00,12
6032,click,2021/05/04 09:30:00,2021/05/04 10:00:00,12
7046,view,2021/05/04 09:30:00,2021/05/04 10:00:00,7
9089,click,2021/05/04 09:30:00,2021/05/04 10:00:00,9
6035,view,2021/05/04 09:30:00,2021/05/04 10:00:00,15
9089,view,2021/05/04 09:30:00,2021/05/04 10:00:00,16
7046,click,2021/05/04 09:30:00,2021/05/04 10:00:00,11
9091,click,2021/05/04 09:30:00,2021/05/04 10:00:00,16
9090,view,2021/05/04 09:30:00,2021/05/04 10:00:00,6
8002,click,2021/05/04 09:30:00,2021/05/04 10:00:00,8
9091,view,2021/05/04 09:30:00,2021/05/04 10:00:00,10
7045,view,2021/05/04 09:30:00,2021/05/04 10:00:00,16
9090,click,2021/05/04 09:30:00,2021/05/04 10:00:00,9
6036,view,2021/05/04 09:30:00,2021/05/04 10:00:00,13
6036,click,2021/05/04 09:30:00,2021/05/04 10:00:00,10
6032,view,2021/05/04 09:30:00,2021/05/04 10:00:00,14
8001,view,2021/05/04 09:30:00,2021/05/04 10:00:00,13
9092,click,2021/05/04 09:30:00,2021/05/04 10:00:00,9
6033,click,2021/05/04 09:30:00,2021/05/04 10:00:00,13
6032,view,2021/05/04 10:00:00,2021/05/04 10:30:00,8
6032,click,2021/05/04 10:00:00,2021/05/04 10:30:00,12
6033,click,2021/05/04 10:00:00,2021/05/04 10:30:00,11
7047,click,2021/05/04 10:00:00,2021/05/04 10:30:00,13
9092,view,2021/05/04 10:00:00,2021/05/04 10:30:00,14
6036,view,2021/05/04 10:00:00,2021/05/04 10:30:00,10
9091,view,2021/05/04 10:00:00,2021/05/04 10:30:00,16
8002,click,2021/05/04 10:00:00,2021/05/04 10:30:00,6
7045,view,2021/05/04 10:00:00,2021/05/04 10:30:00,14
9090,view,2021/05/04 10:00:00,2021/05/04 10:30:00,15
9091,click,2021/05/04 10:00:00,2021/05/04 10:30:00,9
6033,view,2021/05/04 10:00:00,2021/05/04 10:30:00,9
6035,view,2021/05/04 10:00:00,2021/05/04 10:30:00,20
8002,view,2021/05/04 10:00:00,2021/05/04 10:30:00,10
7047,view,2021/05/04 10:00:00,2021/05/04 10:30:00,14
8001,click,2021/05/04 10:00:00,2021/05/04 10:30:00,4
7045,click,2021/05/04 10:00:00,2021/05/04 10:30:00,14
7046,click,2021/05/04 10:00:00,2021/05/04 10:30:00,5
7046,view,2021/05/04 10:00:00,2021/05/04 10:30:00,6
9092,click,2021/05/04 10:00:00,2021/05/04 10:30:00,16
9089,click,2021/05/04 10:00:00,2021/05/04 10:30:00,11
8001,view,2021/05/04 10:00:00,2021/05/04 10:30:00,8
9090,click,2021/05/04 10:00:00,2021/05/04 10:30:00,6
6036,click,2021/05/04 10:00:00,2021/05/04 10:30:00,7
6035,click,2021/05/04 10:00:00,2021/05/04 10:30:00,13
9089,view,2021/05/04 10:00:00,2021/05/04 10:30:00,17
8002,click,2021/05/04 10:30:00,2021/05/04 11:00:00,16
9092,view,2021/05/04 10:30:00,2021/05/04 11:00:00,7
8001,click,2021/05/04 10:30:00,2021/05/04 11:00:00,16
7046,view,2021/05/04 10:30:00,2021/05/04 11:00:00,12
9092,click,2021/05/04 10:30:00,2021/05/04 11:00:00,13
6033,view,2021/05/04 10:30:00,2021/05/04 11:00:00,12
6036,view,2021/05/04 10:30:00,2021/05/04 11:00:00,10
9091,click,2021/05/04 10:30:00,2021/05/04 11:00:00,11
9090,view,2021/05/04 10:30:00,2021/05/04 11:00:00,4
6036,click,2021/05/04 10:30:00,2021/05/04 11:00:00,6
6033,click,2021/05/04 10:30:00,2021/05/04 11:00:00,11
6032,view,2021/05/04 10:30:00,2021/05/04 11:00:00,12
9090,click,2021/05/04 10:30:00,2021/05/04 11:00:00,14
7045,view,2021/05/04 10:30:00,2021/05/04 11:00:00,12
7046,click,2021/05/04 10:30:00,2021/05/04 11:00:00,5
9089,click,2021/05/04 10:30:00,2021/05/04 11:00:00,16
9089,view,2021/05/04 10:30:00,2021/05/04 11:00:00,12
9091,view,2021/05/04 10:30:00,2021/05/04 11:00:00,12
7047,view,2021/05/04 10:30:00,2021/05/04 11:00:00,8
8002,view,2021/05/04 10:30:00,2021/05/04 11:00:00,5
7045,click,2021/05/04 10:30:00,2021/05/04 11:00:00,11
6035,click,2021/05/04 10:30:00,2021/05/04 11:00:00,18
6032,click,2021/05/04 10:30:00,2021/05/04 11:00:00,15
7047,click,2021/05/04 10:30:00,2021/05/04 11:00:00,12
6035,view,2021/05/04 10:30:00,2021/05/04 11:00:00,7
8001,view,2021/05/04 10:30:00,2021/05/04 11:00:00,11
6035,view,2021/05/04 11:00:00,2021/05/04 11:30:00,10
7046,click,2021/05/04 11:00:00,2021/05/04 11:30:00,10
8002,view,2021/05/04 11:00:00,2021/05/04 11:30:00,13
6032,click,2021/05/04 11:00:00,2021/05/04 11:30:00,10
8001,click,2021/05/04 11:00:00,2021/05/04 11:30:00,9
6033,view,2021/05/04 11:00:00,2021/05/04 11:30:00,12
9092,click,2021/05/04 11:00:00,2021/05/04 11:30:00,13
9089,click,2021/05/04 11:00:00,2021/05/04 11:30:00,14
6036,view,2021/05/04 11:00:00,2021/05/04 11:30:00,12
7045,view,2021/05/04 11:00:00,2021/05/04 11:30:00,12
9089,view,2021/05/04 11:00:00,2021/05/04 11:30:00,17
9090,view,2021/05/04 11:00:00,2021/05/04 11:30:00,10
7046,view,2021/05/04 11:00:00,2021/05/04 11:30:00,6
9090,click,2021/05/04 11:00:00,2021/05/04 11:30:00,11
8001,view,2021/05/04 11:00:00,2021/05/04 11:30:00,12
7047,click,2021/05/04 11:00:00,2021/05/04 11:30:00,9
6033,click,2021/05/04 11:00:00,2021/05/04 11:30:00,14
6036,click,2021/05/04 11:00:00,2021/05/04 11:30:00,12
8002,click,2021/05/04 11:00:00,2021/05/04 11:30:00,12
7047,view,2021/05/04 11:00:00,2021/05/04 11:30:00,6
6035,click,2021/05/04 11:00:00,2021/05/04 11:30:00,8
6032,view,2021/05/04 11:00:00,2021/05/04 11:30:00,7
9091,view,2021/05/04 11:00:00,2021/05/04 11:30:00,12
7045,click,2021/05/04 11:00:00,2021/05/04 11:30:00,12
9092,view,2021/05/04 11:00:00,2021/05/04 11:30:00,13
9091,click,2021/05/04 11:00:00,2021/05/04 11:30:00,12
9089,click,2021/05/04 11:30:00,2021/05/04 12:00:00,12
6035,view,2021/05/04 11:30:00,2021/05/04 12:00:00,10
8001,click,2021/05/04 11:30:00,2021/05/04 12:00:00,9
7046,view,2021/05/04 11:30:00,2021/05/04 12:00:00,8
9092,view,2021/05/04 11:30:00,2021/05/04 12:00:00,11
6036,click,2021/05/04 11:30:00,2021/05/04 12:00:00,12
6033,view,2021/05/04 11:30:00,2021/05/04 12:00:00,18
9089,view,2021/05/04 11:30:00,2021/05/04 12:00:00,10
9091,click,2021/05/04 11:30:00,2021/05/04 12:00:00,11
7047,view,2021/05/04 11:30:00,2021/05/04 12:00:00,17
